,ID,KenmerkenPersonen,Marges,Perioden,Rokers,ExRokers,NooitRokers,DagelijkseRokersOnderBevolking,DagelijkseRokersOnderRokers,ZwareRokersOnderBevolking,ZwareRokersOnderRokers,Sigarettenrokers,SigarettenPerDagPerRoker,RookjarenHuidigeSigarettenrokers,StoppogingInAfgelopen12Maanden,RookjarenExSigarettenrokers,StopjarenExSigarettenrokers,ESigaret,ESigaretRegelmatigOfElkeDag,BijnaNooit,MinderDan1UurPerDag,k,BijnaNooit,MinderDan1UurPerDag,k,BijnaNooit,NietDagelijks,DagelijksMinderDanEenUur,DagelijksEenUurOfMeer,Drinkers,ExDrinkers,NooitDrinkers,ZwareDrinkersOnderBevolking,ZwareDrinkersOnderDrinkers,OvermatigeDrinkersOnderBevolking,OvermatigeDrinkersOnderDrinkers,GlazenAlcoholPerDagPerDrinker,Maximaal1GlasPerDagOnderBevolking,RichtlijnAlcoholgebruik12JrOfOuder,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,AfgelopenMaand,AfgelopenJaar,Ooit,OpgegevenLengte18JaarOfOuder,OpgegevenGewicht18JaarOfOuder,Ondergewicht,NormaalGewicht,Overgewicht,MatigOvergewicht,ErnstigOvergewicht,VoldoetAanBeweegrichtlijn,VoldoendeMatigIntensieveInspanning,VoldoendeBotSpierversterkActiviteit,WekelijkseSporters,AbonnementSportaanbieder,LidSportvereniging,Inactief,SemiActief,Normactief,Inactief,SemiActief,Normactief,VoldoenAanCombinorm,WekelijkseSporters,RisicovolleSeks,RisicoOngeplandeZwangerschap1649Jr,HivTest,SoaTestExclHivTest,AnticonceptiegebruikInclPil1649,GebruikAnticonceptiepil1649Jaar,k,Minimaal5DagenPWVoldoendeFruit,k,Minimaal5DagenPWVoldoendeGroente,Minimaal1DagPerWeek,Min2DagenPWWaarvan1XVetteVis,InDeAfgelopen5Jaar,LangerDan5JaarGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen5Jaar,NietInDeAfgelopen5Jaar,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,InDeAfgelopen2Jaar,LangerDan2JaarGeleden,Nooit,WeetNiet,InDeAfgelopen12Maanden,LangerDan12MaandenGeleden,Nooit,WeetNiet,Griepprik16JaarOfOuder,Mantelzorger,UrenMantelzorgPerWeek,ZwaarBelasteMantelzorgers,Bloeddonoren18Tot70Jaar
5,5,Totaal personen,Waarde,2019,20.4,30.1,49.6,14.8,72.8,2.8,13.7,18.6,9.9,26.1,34.2,19.9,20.0,,1.5,,,,,,,77.3,18.2,2.9,1.6,75.4,11.3,13.3,8.1,10.8,7.9,10.5,1.2,44.4,43.4,4.8,7.1,21.7,2.2,4.4,11.0,0.6,1.6,4.3,1.1,3.2,8.1,0.7,1.7,5.0,0.7,1.5,6.3,5.8,9.1,23.4,174.2,77.9,2.5,53.4,44.1,31.4,12.7,49.0,54.1,82.5,53.8,23.7,23.1,,,,,,,,,3.1,6.6,4.4,5.6,73.9,36.5,29.6,39.5,20.3,41.3,55.9,16.5,48.7,24.5,23.2,3.6,35.8,18.7,44.1,1.3,,,,51.0,37.4,6.5,5.0,34.1,24.8,31.1,10.1,35.9,26.8,26.1,11.2,23.9,7.1,62.3,6.7,3.4,15.4,79.1,2.1,23.2,15.3,9.9,13.7,
26,26,Geslacht: Mannen,Waarde,2019,23.7,31.3,45.0,17.0,71.9,3.4,14.3,20.7,10.3,25.1,32.0,21.1,19.8,,1.6,,,,,,,75.1,20.0,3.4,1.5,80.4,9.0,10.6,8.8,10.9,9.8,12.2,1.5,34.0,33.1,6.8,9.3,26.4,2.9,5.6,14.0,0.9,2.1,5.9,1.5,4.2,10.3,1.1,2.6,7.3,1.0,2.2,8.9,8.1,11.5,28.2,180.8,84.6,1.9,50.0,48.1,36.8,11.3,51.1,57.2,81.5,54.6,21.3,27.4,,,,,,,,,3.8,,4.4,4.9,,,26.1,36.8,20.2,41.4,56.3,15.9,,,,,,,,,,,,48.3,38.0,8.3,5.5,35.1,25.5,30.9,8.5,34.6,25.5,29.3,10.5,24.4,7.3,61.9,6.5,3.4,14.3,80.0,2.3,21.7,12.4,9.6,10.4,
47,47,Geslacht: Vrouwen,Waarde,2019,17.1,28.8,54.1,12.7,74.0,2.2,12.9,16.6,9.5,27.2,36.9,18.6,20.2,,1.5,,,,,,,79.4,16.5,2.5,1.6,70.6,13.6,15.9,7.4,10.5,6.1,8.7,0.8,54.6,53.6,2.8,4.8,17.0,1.4,3.2,7.9,0.3,1.1,2.6,0.8,2.1,6.0,0.4,0.9,2.8,0.4,0.9,3.7,3.7,6.7,18.7,167.8,71.5,3.1,56.7,40.1,26.2,14.0,47.0,51.0,83.5,52.9,26.1,18.8,,,,,,,,,2.4,6.6,4.5,6.2,73.9,36.5,33.1,42.1,20.5,41.1,55.5,17.1,48.7,24.5,23.2,3.6,35.8,18.7,44.1,1.3,,,,53.7,36.9,4.8,4.6,33.1,24.1,31.2,11.6,37.1,28.1,22.9,11.9,23.3,6.9,62.8,7.0,3.5,16.5,78.2,1.8,24.6,18.1,10.1,15.8,
68,68,Leeftijd: 0 tot 4 jaar,Waarde,2019,,,,,,,,,,,,,,,,,,,,,,94.8,4.6,0.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,89,Leeftijd: 4 tot 12 jaar,Waarde,2019,,,,,,,,,,,,,,,,,,,,,,94.2,4.2,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,79.4,12.0,10.1,2.0,55.9,55.9,99.8,63.2,14.5,45.2,,,,,,,,,,,,,,,39.4,46.3,38.9,63.1,50.9,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,110,Leeftijd: 12 tot 16 jaar,Waarde,2019,1.7,1.4,96.9,0.8,,0.4,,1.7,,,,,,,0.2,,,,,,,73.5,20.1,4.8,1.5,20.1,10.4,69.5,0.9,,0.4,,,90.5,79.9,1.8,2.6,3.1,0.3,0.3,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.3,0.7,2.1,2.9,3.6,,,3.0,82.3,14.7,12.8,1.9,42.9,44.1,94.3,73.8,12.3,53.1,,,,,,,,,,,,,,,19.8,26.5,23.0,44.7,45.6,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,131,Leeftijd: 16 tot 20 jaar,Waarde,2019,15.9,3.1,81.0,8.2,,0.2,,14.1,,,,,,,1.0,,,,,,,53.1,38.9,4.2,3.8,70.0,7.6,22.4,11.1,15.9,7.7,11.1,1.1,42.6,35.4,9.0,15.8,21.9,1.9,4.9,6.0,0.5,1.3,1.5,0.7,3.3,4.1,0.4,0.9,1.2,0.8,2.6,3.3,9.6,16.9,22.8,,,3.5,80.3,16.2,13.2,3.0,47.0,50.7,85.9,66.6,29.8,39.1,,,,,,,,,4.8,0.0,1.6,3.5,,,18.6,28.0,12.3,28.8,40.0,7.0,2.1,3.2,89.1,5.7,3.0,3.1,90.3,3.5,,,,23.2,28.3,34.0,14.5,5.1,6.2,70.3,18.3,8.0,11.8,61.2,19.1,1.8,1.7,86.0,10.6,0.4,0.8,93.5,5.3,6.0,3.0,,,
152,152,Leeftijd: 20 tot 30 jaar,Waarde,2019,30.6,14.5,54.9,17.7,57.8,2.5,8.2,28.3,7.8,8.2,34.9,6.3,3.0,,1.8,,,,,,,54.2,37.5,6.5,1.9,85.7,6.1,8.2,16.8,19.6,13.1,15.3,1.4,28.6,28.6,12.5,18.8,45.3,7.4,15.9,28.2,1.9,6.0,11.7,4.9,12.5,23.7,2.4,7.0,11.6,2.2,5.4,15.1,16.2,25.5,49.0,176.2,74.6,4.5,63.8,31.7,23.4,8.3,58.2,64.7,83.2,67.7,38.9,25.8,,,,,,,,,7.5,4.8,9.0,15.8,80.3,50.5,22.6,32.5,19.1,39.7,46.4,12.4,22.7,5.2,69.3,2.8,3.0,3.4,92.4,1.2,,,,32.7,41.9,14.7,10.6,11.8,12.8,58.8,16.6,17.3,22.4,46.3,14.0,4.4,4.4,84.4,6.8,0.8,3.4,93.3,2.6,4.7,5.7,,,
173,173,Leeftijd: 30 tot 40 jaar,Waarde,2019,26.0,22.1,51.9,18.3,70.4,2.8,10.9,24.9,8.7,17.8,40.4,10.5,8.0,,1.2,,,,,,,71.3,22.9,4.3,1.6,78.6,12.0,9.5,7.2,9.2,5.7,7.2,1.0,40.8,40.8,6.4,9.7,37.5,3.5,6.5,20.6,1.4,2.6,7.9,1.4,4.9,16.5,1.7,2.9,9.9,0.7,2.0,12.4,8.0,12.9,40.5,175.8,78.0,1.5,53.3,45.2,33.2,12.0,48.0,53.9,80.8,56.4,28.5,19.6,,,,,,,,,2.9,10.5,9.1,9.8,66.7,28.3,26.7,37.9,18.3,37.8,53.8,15.8,67.9,8.6,21.4,2.1,7.8,13.3,77.5,1.4,,,,38.6,49.9,6.3,5.2,16.0,25.5,44.2,14.2,22.9,34.7,31.3,11.1,5.6,4.4,83.3,6.8,1.3,8.5,89.0,1.2,5.9,9.7,7.1,17.7,
194,194,Leeftijd: 40 tot 50 jaar,Waarde,2019,23.4,27.6,49.1,17.8,76.3,3.8,16.3,21.9,10.6,27.3,34.2,15.7,12.2,,1.9,,,,,,,77.7,17.4,3.6,1.3,79.5,10.0,10.6,5.9,7.5,6.6,8.3,1.0,41.1,41.1,5.0,6.3,25.4,1.8,3.6,13.3,0.4,1.1,5.5,0.9,2.1,10.0,0.8,1.3,7.0,0.7,1.1,7.5,6.0,8.3,27.6,175.4,80.3,1.4,45.0,53.7,37.8,15.8,51.1,56.4,79.7,55.8,26.0,18.4,,,,,,,,,2.0,7.4,4.5,4.3,70.6,23.3,24.7,35.9,18.8,39.1,56.1,15.1,79.8,11.9,7.3,1.0,13.3,21.9,64.2,0.6,,,,41.9,50.0,3.7,4.4,24.1,32.9,32.5,10.5,26.3,37.0,24.7,12.0,5.7,5.5,81.7,7.1,2.0,10.4,85.4,2.2,8.7,15.1,11.0,16.1,
